# gsd	gsr	firingRate	maxFreq	ampFreq	ampOscil	class	meanEv	meanCT	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10
0	0.00017	0	3.7	0.00351112	2.65784e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000171	0	3.48	0.00847918	9.55413e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000172	0	3.32	0.00337279	2.64925e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000173	0	2.92	0.0152881	1.14915e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000174	0	2.88	0.0105768	1.00104e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000175	0	3.38	0.0283464	3.93984e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000176	0	3.4	0.0153255	1.65363e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000177	0	3.28	0.0112739	9.59592e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000178	0	3.72	0.00851609	1.42312e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000179	0	4.22	0.0263108	3.03464e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.00018	0	3.06	0.0104608	1.0919e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000181	0	2.52	0.0102456	4.20852e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000182	0	3.3	0.010474	5.67119e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000183	0	3.06	0.0268382	2.41249e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000184	0	41.52	0.0173134	8.88982e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000185	0	3.5	0.0123347	3.79262e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000186	0	3.26	0.0124725	7.11547e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000187	0	13.74	0.0452595	3.94828e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000188	0	3.2	0.0217351	2.02447e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000189	0	3.58	0.0427627	3.52518e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.00019	0	3.48	0.0244868	8.08401e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000191	0	3.32	0.0752402	3.71759e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000192	0	14.5	0.0265464	5.43261e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000193	0	3.4	0.0241807	1.01582e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000194	0	3.6	0.0323971	1.61186e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000195	0	3.58	0.0821935	4.98107e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000196	0	3.5	0.155177	4.814e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000197	0	3.68	0.163742	6.91072e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000198	0	3.64	0.0698965	4.52204e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000199	0	3.74	0.169913	5.13767e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.0002	0	4.76	0.0720484	2.77335e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000201	0	65.14	0.0363697	4.49524e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000202	0	15.84	0.0627677	2.05443e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000203	0	3.96	0.565739	7.32282e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000204	0	3.96	1.61196	1.50564e-05	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000205	0	5.98	0.285056	1.59005e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000206	0	4.04	3.08072	2.18554e-05	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000207	0	4.1	6.31193	2.32247e-05	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0	0.000208	3.515	3.52	1.16579e+07	83.9453	0	0	0	-10	-10	-10	0	0	0	0	0	0.0722678	0
0	0.000209	3.648	3.64	9.47503e+06	83.8053	0	0	0	-10	-10	-10	0	0	0	0	0	0.0699596	0
0	0.00021	3.738	3.74	1.24764e+07	83.7514	0	0	0	-10	-10	-10	0	0	0	0	0	0.0458071	0
0	0.000211	3.809	3.8	9.11949e+06	83.7347	0	0	0	-10	-10	-10	0	0	0	0	0	0.0451045	0
0	0.000212	3.867	3.86	1.01161e+07	83.7408	0	0	0	-10	-10	-10	0	0	0	0	0	0.0445205	0
0	0.000213	3.918	3.92	1.25597e+07	83.7635	0	0	0	-10	-10	-10	0	0	0	0	0	0.0659289	0
0	0.000214	3.961	3.96	1.29911e+07	83.8	0	0	0	-10	-10	-10	0	0	0	0	0	0.0869823	0
0	0.000215	3.998	4	1.2941e+07	83.8489	0	0	0	-10	-10	-10	0	0	0	0	0	0.0648289	0
0	0.000216	4.03	4.04	8.62551e+06	83.91	0	0	0	-10	-10	-10	0	0	0	0	0	0.0644266	0
0	0.000217	4.058	4.06	1.30261e+07	83.9835	0	0	0	-10	-10	-10	0	0	0	0	0	0.0853728	0
0	0.000218	4.079	4.08	1.3565e+07	84.0705	0	0	0	-10	-10	-10	0	0	0	0	0	0.0637678	0
0	0.000219	4.097	4.1	1.29147e+07	84.1727	0	0	0	-10	-10	-10	0	0	0	0	0	0.0635084	0
0	0.00022	4.107	4.1	1.13623e+07	84.2931	0	0	0	-10	-10	-10	0	0	0	0	0	0.084335	0
0	0.000221	4.111	4.12	9.87518e+06	84.436	0	0	0	-10	-10	-10	0	0	0	0	0	0.084335	0
0	0.000222	4.106	4.1	1.21856e+07	84.6091	0	0	0	-10	-10	-10	0	0	0	0	0	0.0424252	0
0	0.000223	4.09	4.08	9.67213e+06	84.8257	0	0	0	-10	-10	-10	0	0	0	0	0	0.0425119	0
0	0.000224	4.054	4.06	1.30501e+07	85.1139	0	0	0	-10	-10	-10	0	0	0	0	0	0.0640296	0
0	0.000225	3.978	3.98	1.54971e+07	85.5537	0	0	0	-10	-10	-10	0	0	0	0	0	0.086619	0
0	0.000226	3.535	3.54	1.66142e+07	87.2239	0	0	0	-10	-10	-10	0	0	0	0	0	0.0717594	0
0	0.000227	7.826	3.92	1.3157e+07	86.5252	0	0	0	-10	-10	-10	0	0	0	0	0	0.0250885	0
0	0.000228	8.012	4	1.40019e+07	86.3462	0	0	0	-10	-10	-10	0	0	0	0	0	0.0221923	0
0	0.000229	8.144	4.08	1.22637e+07	86.2411	0	0	0	-10	-10	-10	0	0	0	0	0	0.0291208	0
0	0.00023	8.254	4.12	1.3385e+07	86.1681	0	0	0	-10	-10	-10	0	0	0	0	0	0.0213145	0
0	0.000231	8.348	4.18	1.35807e+07	86.1134	0	0	0	-10	-10	-10	0	0	0	0	0	0.0263026	0
0	0.000232	8.434	4.22	1.5135e+07	86.0708	0	0	0	-10	-10	-10	0	0	0	0	0	0.0190786	0
0	0.000233	8.512	4.26	1.48036e+07	86.0368	0	0	0	-10	-10	-10	0	0	0	0	0	0.0209837	0
0	0.000234	8.586	4.3	1.24909e+07	86.0092	0	0	0	-10	-10	-10	0	0	0	0	0	0.021561	0
0	0.000235	8.654	4.32	1.28251e+07	85.9867	0	0	0	-10	-10	-10	0	0	0	0	0	0.0179855	0
0	0.000236	8.72	4.36	1.5834e+07	85.9683	0	0	0	-10	-10	-10	0	0	0	0	0	0.0252204	0
0	0.000237	8.782	4.4	1.0661e+07	85.9534	0	0	0	-10	-10	-10	0	0	0	0	0	0.0201414	0
0	0.000238	8.84	4.42	1.58617e+07	85.9413	0	0	0	-10	-10	-10	0	0	0	0	0	0.0187923	0
0	0.000239	8.898	4.44	1.15996e+07	85.9318	0	0	0	-10	-10	-10	0	0	0	0	0	0.0234854	0
0	0.00024	8.951	4.48	1.46675e+07	85.9245	0	0	0	-10	-10	-10	0	0	0	0	0	0.0235155	0
0	0.000241	9.002	4.5	1.57337e+07	85.9192	0	0	0	-10	-10	-10	0	0	0	0	0	0.0172318	0
