# gsd	gsr	firingRate	maxFreq	ampFreq	ampOscil	class	meanEv	meanCT	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10
0	0.0002	8.476	4.24	1.53236e+07	83.4876	4	1.99953	235.891	-10	-10	-10	0	0	0	0	0	0.0173871	0
0	0.000201	8.484	4.24	1.52588e+07	83.5052	4	1.99953	235.692	-10	-10	-10	0	0	0	0	0	0.0188102	0
0	0.000202	8.488	4.24	1.43332e+07	83.5252	4	1.99953	235.562	-10	-10	-10	0	0	0	0	0	0.0173717	0
0	0.000203	8.49	4.24	1.35602e+07	83.5474	4	1.99953	235.492	-10	-10	-10	0	0	0	0	0	0.0174127	0
0	0.000204	8.492	4.24	1.33158e+07	83.5712	4	1.99953	235.475	-10	-10	-10	0	0	0	0	0	0.021768	0
0	0.000205	8.49	4.24	1.36208e+07	83.5967	4	1.99953	235.505	-10	-10	-10	0	0	0	0	0	0.0174127	0
0	0.000206	8.488	4.24	1.42895e+07	83.6234	4	1.99953	235.576	-10	-10	-10	0	0	0	0	0	0.020269	0
0	0.000207	8.484	4.24	1.49619e+07	83.6513	4	1.99953	235.686	-10	-10	-10	0	0	0	0	0	0.0173632	0
0	0.000208	8.478	4.24	1.51263e+07	83.6802	4	1.99953	235.831	-10	-10	-10	0	0	0	0	0	0.0144921	0
0	0.000209	8.472	4.24	1.42231e+07	83.71	4	1.99953	236.008	-10	-10	-10	0	0	0	0	0	0.0217702	0
0	0.00021	8.464	4.24	1.17988e+07	83.7406	4	1.99953	236.215	-10	-10	-10	0	0	0	0	0	0.0188138	0
0	0.000211	8.457	4.22	1.11898e+07	83.7719	4	1.99976	236.502	-10	-10	-10	0	0	0	0	0	0.0101425	0
0	0.000212	8.448	4.22	1.42617e+07	83.8039	4	1.99953	236.71	-10	-10	-10	0	0	0	0	0	0.020265	0
0	0.000213	8.438	4.22	1.4859e+07	83.8364	4	1.99953	236.997	-10	-10	-10	0	0	0	0	0	0.0188378	0
0	0.000214	8.426	4.22	1.21283e+07	83.8695	4	1.99953	237.307	-10	-10	-10	0	0	0	0	0	0.0172392	0
0	0.000215	8.414	4.2	1.20777e+07	83.9032	4	1.99952	237.64	-10	-10	-10	0	0	0	0	0	0.0187823	0
0	0.000216	8.4	4.2	1.4915e+07	83.9373	4	1.99952	237.995	-10	-10	-10	0	0	0	0	0	0.0187963	0
0	0.000217	8.39	4.2	1.29192e+07	83.9719	4	1.99952	238.372	-10	-10	-10	0	0	0	0	0	0.0172429	0
0	0.000218	8.374	4.18	1.19645e+07	84.0069	4	1.99952	238.77	-10	-10	-10	0	0	0	0	0	0.0140867	0
0	0.000219	8.36	4.18	1.48978e+07	84.0423	4	1.99952	239.188	-10	-10	-10	0	0	0	0	0	0.0172281	0
0	0.00022	8.344	4.18	1.14051e+07	84.0782	4	1.99952	239.627	-10	-10	-10	0	0	0	0	0	0.0218892	0
0	0.000221	8.328	4.16	1.38235e+07	84.1145	4	1.99952	240.086	-10	-10	-10	0	0	0	0	0	0.0156753	0
