# gsd	gsr	firingRate	maxFreq	ampFreq	ampOscil	class	meanEv	meanCT	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10
0.0001	0.0002	0	0.02	0.00119526	3.00402e-09	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000201	0	0.02	0.021192	4.13907e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000202	0	0.02	0.00224892	7.88113e-09	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000203	0	0.02	0.0142812	2.72209e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000204	0	0.02	0.0184083	3.60476e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000205	0	0.02	0.00626356	1.5742e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000206	0	0.02	0.000725445	4.38827e-09	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000207	0	0.02	0.00621487	1.60996e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000208	0	0.02	0.0237895	4.36956e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000209	0	0.02	0.0142486	2.89653e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.00021	0	0.02	0.00661816	1.66333e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000211	0	0.02	0.00553522	1.39115e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000212	0	0.02	0.00380075	9.56643e-09	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000213	0	0.02	0.00861534	1.80815e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000214	0	0.02	0.0155579	4.15469e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
