# gsd	mle
94	0.000033089
94.05	0.0000334433
94.1	0.0000359588
94.15	0.0000324852
94.2	0.0000406947
94.25	0.0000401172
94.3	0.0000395037
94.35	0.0000429938
94.4	-0.000103418
94.45	0.000138046
94.5	-1.46769e-05
94.55	5.27214e-05
94.6	6.19885e-05
94.65	3.01219e-05
94.7	-9.32331e-06
94.75	-0.000387809
94.8	5.46639e-05
94.85	-0.000338893
94.9	-9.65471e-05
94.95	0.000142502
95	-0.000102378
95.05	-0.0001814
95.1	-0.000178545
95.15	5.59519e-05
95.2	0.000319603
95.25	4.38263e-05
95.3	0.000407266
95.35	0.00136862
95.4	0.00175352
95.45	0.00196664
95.5	0.00156653
95.55	0.00370816
95.6	0.00234525
95.65	0.00360438
95.7	0.0026845
95.75	0.00222044
95.8	0.0031351
95.85	0.00258609
95.9	0.00477412
95.95	0.00309832
96	0.00483209
96.05	0.00416046
96.1	0.00275832
96.15	0.00390351
96.2	0.00430183
96.25	0.00475996
96.3	0.00444289
96.35	0.0055971
96.4	0.00397466
96.45	0.00449315
96.5	0.00422843
96.55	0.00449111
96.6	0.00395698
96.65	0.0041403
96.7	0.00565585
96.75	0.00468799
96.8	0.00557202
96.85	0.00521332
96.9	0.00488596
96.95	0.00520689
97	0.00432749
97.05	0.00504652
97.1	0.00392829
97.15	0.00511582
97.2	0.00424522
97.25	0.00485767
97.3	0.00508598
97.35	0.00588456
97.4	0.00534421
97.45	0.00504341
97.5	0.00417869
97.55	0.00619275
97.6	0.00497961
97.65	0.00483068
97.7	0.00412553
97.75	0.00576273
97.8	0.00555415
97.85	0.00596056
97.9	0.00523189
97.95	0.00549462
98	0.00624567
98.05	0.00591349
98.1	0.0049503
98.15	0.00514232
98.2	0.00523845
98.25	0.00474903
98.3	0.00534087
98.35	0.00552386
98.4	0.00528545
98.45	0.00556549
98.5	0.00534918
98.55	0.00561915
98.6	0.00524665
98.65	0.00569554
98.7	0.00591411
98.75	0.000145159
98.8	0.000421503
98.85	0.00355465
98.9	0.00461996
98.95	0.00495841
99	0.0046172
99.05	0.00290481
99.1	0.00211569
99.15	0.00514223
99.2	0.00410292
99.25	0.00483214
99.3	0.00371917
99.35	0.00396834
99.4	0.00375258
99.45	0.00409593
99.5	0.00530934
99.55	0.00485392
99.6	0.00315928
99.65	0.00436642
99.7	0.00373847
99.75	0.00553805
99.8	0.00508698
99.85	0.00368429
99.9	0.00406828
99.95	0.00454462
100	0.004389
100.05	0.000147918
100.1	0.00401214
100.15	0.00387984
100.2	0.00294177
100.25	0.00313554
100.3	0.00463917
100.35	0.00445959
100.4	0.00390596
100.45	0.00365119
100.5	0.00423108
100.55	0.00358193
100.6	0.00436057
100.65	0.00404962
100.7	0.00453477
100.75	0.00447974
100.8	0.00466695
100.85	0.00381352
100.9	0.00435679
100.95	0.00468008
101	0.00181964
101.05	0.00328226
101.1	0.00245509
101.15	0.00430085
101.2	0.00322314
101.25	0.00337297
101.3	0.00350231
101.35	0.00366711
101.4	0.00503573
101.45	0.00428983
101.5	0.00352998
101.55	0.00160743
101.6	0.00246739
101.65	0.00292713
101.7	0.000519079
101.75	0.00011258
101.8	-6.45814e-05
101.85	-2.89622e-05
101.9	-7.9579e-05
101.95	8.73041e-05
102	0.000102971
102.05	4.95805e-05
102.1	-9.28524e-05
102.15	-0.000193614
102.2	-0.000286845
102.25	-0.000113277
102.3	-2.98184e-05
102.35	8.65544e-06
102.4	2.90556e-05
102.45	4.00092e-05
102.5	4.54816e-05
102.55	4.76338e-05
102.6	4.77576e-05
102.65	4.66282e-05
102.7	4.47745e-05
102.75	4.2542e-05
102.8	4.01472e-05
102.85	3.77372e-05
102.9	3.53909e-05
102.95	3.31488e-05
103	3.09938e-05
103.05	2.8914e-05
103.1	2.68403e-05
103.15	2.46982e-05
103.2	2.23808e-05
103.25	1.97571e-05
103.3	1.6681e-05
103.35	1.29622e-05
103.4	8.36848e-06
103.45	2.60766e-06
103.5	-4.70724e-06
103.55	-1.40195e-05
103.6	-2.59686e-05
103.65	-4.15072e-05
103.7	-6.20623e-05
103.75	-9.0073e-05
103.8	-0.000130478
103.85	-0.00019687
103.9	-0.000387198
103.95	-0.000258152
104	-0.000198603
104.05	-0.000186744
104.1	-0.000211151
104.15	-0.000331876
104.2	-0.000237979
104.25	-0.000138628
104.3	-8.82204e-05
104.35	-5.8151e-05
104.4	-4.12857e-05
104.45	-3.48451e-05
104.5	-3.77636e-05
104.55	-4.98924e-05
104.6	-7.19729e-05
104.65	-0.000106266
104.7	-0.000158876
104.75	-0.000253579
104.8	-0.000392788
104.85	-0.000241629
104.9	-0.000202101
104.95	-0.000185998
105	-0.000179507
105.05	-0.000176753
105.1	-0.000174249
105.15	-0.000169825
105.2	-0.000162376
105.25	-0.00015161
105.3	-0.00013777
105.35	-0.000121319
105.4	-0.000102805
105.45	-8.27721e-05
105.5	-6.18983e-05
105.55	-4.11824e-05
105.6	-2.21591e-05
105.65	-7.82856e-06
105.7	-4.70965e-06
105.75	-3.18692e-05
105.8	-0.000397043
105.85	3.57379e-05
105.9	0.000122371
105.95	0.000164465
106	0.000173279
106.05	0.000102126
106.1	0.000269389
106.15	0.00038755
106.2	0.000118259
106.25	2.34362e-05
106.3	-9.0262e-05
106.35	-0.000193974
106.4	-5.62161e-05
106.45	-7.4467e-06
106.5	2.09867e-05
106.55	3.95139e-05
106.6	5.1585e-05
106.65	5.85106e-05
106.7	6.0667e-05
106.75	5.77506e-05
106.8	4.87032e-05
106.85	3.13229e-05
106.9	1.38438e-06
106.95	-4.95471e-05
107	-0.000140335
107.05	-0.000291861
107.1	-0.000207943
107.15	-9.26299e-05
107.2	-4.28008e-05
107.25	-1.56774e-05
107.3	3.66973e-05
107.35	1.18475e-05
107.4	9.88023e-05
107.45	0.000192114
107.5	0.000218854
107.55	0.000203999
107.6	0.000107287
107.65	-0.000368561
107.7	0.000155322
107.75	0.000162535
107.8	-4.07323e-05
107.85	-0.000199105
107.9	-5.18075e-05
107.95	-9.41719e-05
108	-0.000205647
108.05	5.6061e-05
108.1	-0.00018241
108.15	0.000281804
108.2	0.000389757
108.25	0.00017847
108.3	-0.000136571
108.35	0.000108208
108.4	0.000127667
108.45	8.09144e-05
108.5	-4.46711e-06
108.55	0.000110548
108.6	-0.00025434
108.65	-5.71638e-05
108.7	-6.54339e-05
108.75	-0.000112039
108.8	0.000522626
108.85	0.000782953
108.9	0.000828654
108.95	0.000526271
109	0.0011974
109.05	0.000826551
109.1	0.00111503
109.15	0.0012074
109.2	0.0015955
109.25	0.00187447
109.3	0.00246614
109.35	0.00244679
109.4	0.00307607
109.45	0.00302473
109.5	0.00312417
109.55	0.00294554
109.6	0.00310219
109.65	0.00314099
109.7	0.000324883
109.75	0.00323924
109.8	0.00255525
109.85	0.00190469
109.9	0.0030305
109.95	0.0020328
110	0.00334254
110.05	0.00257779
110.1	0.00276906
110.15	0.00279805
110.2	0.00218315
110.25	0.00313783
110.3	0.00298365
110.35	0.00179911
110.4	0.00257867
110.45	0.00542597
110.5	0.00410981
110.55	0.00392764
110.6	0.00310167
110.65	0.00273455
110.7	0.00303378
110.75	-3.54866e-05
110.8	0.0018867
110.85	0.00476526
110.9	0.00493267
110.95	0.00171893
111	0.00332461
111.05	0.00309956
111.1	0.00308909
111.15	0.00404072
111.2	0.00264906
111.25	0.00212227
111.3	0.00205799
111.35	0.00320735
111.4	0.00230564
111.45	0.00217418
111.5	0.0040216
111.55	0.00215412
111.6	0.00279281
111.65	0.00298981
111.7	0.00215048
111.75	0.00217612
111.8	0.00268611
111.85	0.00284817
111.9	0.00301214
111.95	0.00253927
112	0.00247031
112.05	0.00392591
112.1	0.00282026
112.15	0.00536296
112.2	0.00486056
112.25	0.00319679
112.3	0.00482553
112.35	-0.000123384
112.4	0.00395718
112.45	0.00390921
112.5	0.00323058
112.55	0.00393656
112.6	0.00353753
112.65	0.00433808
112.7	0.00280057
112.75	0.00378581
112.8	0.00462336
112.85	0.00372356
112.9	0.00469858
112.95	0.00351146
113	0.00453884
113.05	0.00329652
113.1	0.004337
113.15	0.00359924
113.2	0.00464815
113.25	0.00375998
113.3	0.00408689
113.35	0.00378682
113.4	0.00451673
113.45	0.00422448
113.5	0.00560823
113.55	0.00295236
113.6	0.00351447
113.65	0.00434984
113.7	0.0047041
113.75	0.00404272
